customer_key,recency,frequency,monetary,r,f,m,rfm_score,Segment
11160,326,1,2322.2799999999997,1,1,4,114,Lost Customers
11161,63,2,93.95,4,5,3,453,453
11162,329,1,2329.9799999999996,1,1,4,114,Lost Customers
11163,161,2,46.27,3,5,2,352,352
11164,161,2,144.76000000000002,3,5,3,353,353
11165,222,2,102.49,2,5,3,253,253
11166,38,2,87.96000000000001,5,5,2,552,552
11167,46,2,3126.33,5,5,4,554,554
11168,58,2,3136.59,4,5,4,454,454
11169,111,2,81.26,4,5,2,452,452
11170,15,2,157.23000000000002,5,5,3,553,553
11171,67,3,6716.55,4,5,5,455,455
11172,8,2,128.94,5,5,3,553,553
11173,20,2,102.49,5,5,3,553,553
11174,172,2,48.56,3,5,2,352,352
11175,71,3,6710.55,4,5,5,455,455
11176,0,28,1320.01,5,5,4,554,554
11177,91,2,135.25,4,5,3,453,453
11178,232,2,144.76,2,5,3,253,253
11179,9,2,125.44,5,5,3,553,553
11180,110,2,138.45,4,5,3,453,453
11181,186,2,41.28,3,5,2,352,352
11182,11,2,81.26,5,5,2,552,552
11183,214,2,46.27,2,5,2,252,252
11184,96,2,68.25,4,5,2,452,452
11185,1,27,1616.31,5,5,4,554,554
11186,10,2,41.28,5,5,2,552,552
11187,160,2,107.47999999999999,3,5,3,353,353
11188,3,2,81.26,5,5,2,552,552
11189,342,2,5944.219999999999,1,5,5,155,155
11190,6,2,46.27,5,5,2,552,552
11191,68,3,6743.58,4,5,5,455,455
11192,110,2,113.96000000000001,4,5,3,453,453
11193,148,2,41.28,3,5,2,352,352
11194,36,2,105.75,5,5,3,553,553
11195,83,2,105.75,4,5,3,453,453
11196,111,2,162.28,4,5,3,453,453
11197,177,2,207.56,3,5,3,353,353
11198,334,2,98.47,1,5,3,153,153
11199,88,2,131.75,4,5,3,453,453
11200,4,27,1463.3799999999999,5,5,4,554,554
11201,126,2,180.94,3,5,3,353,353
11202,114,2,73.98,4,5,2,452,452
11203,33,17,801.77,5,5,3,553,553
11204,64,2,77.27000000000001,4,5,2,452,452
11205,97,2,37.29,4,5,1,451,451
11206,228,2,77.27000000000001,2,5,2,252,252
11207,87,2,77.27000000000001,4,5,2,452,452
11208,118,2,134.23,3,5,3,353,353
11209,3,2,37.29,5,5,1,551,551
11210,129,2,70.75999999999999,3,5,2,352,352
11211,10,17,793.55,5,5,3,553,553
11212,5,17,827.19,5,5,3,553,553
11213,126,2,77.27000000000001,3,5,2,352,352
11214,55,2,162.28,5,5,3,553,553
11215,29,17,1155.52,5,5,4,554,554
11216,342,2,5948.24,1,5,5,155,155
11217,333,2,5953.25,1,5,5,155,155
11218,12,2,39.58,5,5,1,551,551
11219,2,2,39.58,5,5,1,551,551
11220,31,2,50.230000000000004,5,5,2,552,552
11221,88,2,46.27,4,5,2,452,452
11222,46,2,207.95999999999998,5,5,3,553,553
11223,11,27,1205.38,5,5,4,554,554
11224,41,3,6685.589999999999,5,5,5,555,555
11225,129,2,73.25000000000001,3,5,2,352,352
11226,288,2,37.29,1,5,1,151,151
11227,337,2,5910.219999999999,1,5,5,155,155
11228,5,2,77.27000000000001,5,5,2,552,552
11229,1,2,81.26,5,5,2,552,552
11230,35,2,54.22,5,5,2,552,552
11231,62,2,64.26,4,5,2,452,452
11232,61,2,39.58,4,5,1,451,451
11233,219,2,179.42999999999998,2,5,3,253,253
11234,116,2,76.27000000000001,4,5,2,452,452
11235,11,2,138.45,5,5,3,553,553
11236,11,2,113.96000000000001,5,5,3,553,553
11237,49,4,10566.38,5,5,5,555,555
11238,258,4,7542.7699999999995,2,5,5,255,255
11239,230,4,7511.549999999999,2,5,5,255,255
11240,245,4,7586.23,2,5,5,255,255
11241,76,7,11469.1882,4,5,5,455,455
11242,40,7,11068.0082,5,5,5,555,555
11243,218,4,7164.249999999999,2,5,5,255,255
11244,178,4,7175.75,3,5,5,355,355
11245,33,4,10580.349999999999,5,5,5,555,555
11246,24,4,10575.329999999998,5,5,5,555,555
11247,149,4,7131.509999999999,3,5,5,355,355
11248,183,1,38.47,3,1,1,311,Needs Attention
11249,120,4,9890.27,3,5,5,355,355
11250,160,4,7116.25,3,5,5,355,355
11251,87,1,2318.9599999999996,4,1,4,414,Recent Customers
11252,26,3,6685.5599999999995,5,5,5,555,555
11253,41,16,696.61,5,5,3,553,553
11254,30,2,203.92,5,5,3,553,553
11255,288,2,113.96000000000001,1,5,3,153,153
11256,89,2,81.26,4,5,2,452,452
11257,30,3,6677.38,5,5,5,555,555
11258,182,2,49.230000000000004,3,5,2,352,352
11259,24,3,6770.599999999999,5,5,5,555,555
11260,204,2,81.26,2,5,2,252,252
11261,21,3,6650.599999999999,5,5,5,555,555
11262,3,27,1126.82,5,5,3,553,553
11263,34,3,6754.0599999999995,5,5,5,555,555
11264,44,2,3182.27,5,5,4,554,554
11265,375,1,2351.9599999999996,1,1,4,114,Lost Customers
11266,358,2,5922.23,1,5,5,155,155
11267,371,2,5943.23,1,5,5,155,155
11268,58,2,98.25,4,5,3,453,453
11269,125,2,42.28,3,5,2,352,352
11270,371,2,5984.219999999999,1,5,5,155,155
11271,356,2,5973.24,1,5,5,155,155
11272,365,2,5975.23,1,5,5,155,155
11273,235,2,273.23,2,5,3,253,253
11274,323,2,5888.24,1,5,5,155,155
11275,366,2,5955.23,1,5,5,155,155
11276,3,27,988.32,5,5,3,553,553
11277,6,27,1434.99,5,5,4,554,554
11278,375,2,5908.25,1,5,5,155,155
11279,205,2,44.57,2,5,2,252,252
11280,158,2,77.27000000000001,3,5,2,352,352
11281,367,2,5921.19,1,5,5,155,155
11282,376,2,5998.73,1,5,5,155,155
11283,138,2,44.57,3,5,2,352,352
11284,256,2,55.480000000000004,2,5,2,252,252
11285,79,2,127.76,4,5,3,453,453
11286,358,2,5954.219999999999,1,5,5,155,155
11287,0,27,1167.07,5,5,4,554,554
11288,145,2,77.27000000000001,3,5,2,352,352
11289,362,2,5905.48,1,5,5,155,155
11290,351,2,5933.25,1,5,5,155,155
11291,359,2,5873.26,1,5,5,155,155
11292,378,2,5910.219999999999,1,5,5,155,155
11293,304,2,85.22,1,5,2,152,152
11294,12,2,42.28,5,5,2,552,552
11295,369,2,6058.25,1,5,5,155,155
11296,349,2,5897.53,1,5,5,155,155
11297,327,2,5948.24,1,5,5,155,155
11298,326,2,5922.23,1,5,5,155,155
11299,323,2,6015.24,1,5,5,155,155
11300,14,27,1500.52,5,5,4,554,554
11301,94,2,131.26,4,5,3,453,453
11302,345,2,5938.19,1,5,5,155,155
11303,324,2,5875.549999999999,1,5,5,155,155
11304,266,2,122.21000000000001,2,5,3,253,253
11305,162,2,77.27000000000001,3,5,2,352,352
11306,128,2,42.28,3,5,2,352,352
11307,339,2,5964.219999999999,1,5,5,155,155
11308,6,2,94.26,5,5,3,553,553
11309,11,2,42.28,5,5,2,552,552
11310,20,2,77.27000000000001,5,5,2,552,552
11311,122,2,77.27000000000001,3,5,2,352,352
11312,225,2,42.28,2,5,2,252,252
11313,48,2,44.57,5,5,2,552,552
11314,41,2,47.53,5,5,2,552,552
11315,27,2,42.28,5,5,2,552,552
11316,366,1,2349.9799999999996,1,1,4,114,Lost Customers
11317,329,2,5873.26,1,5,5,155,155
11318,66,2,44.57,4,5,2,452,452
11319,323,2,5930.23,1,5,5,155,155
11320,147,2,72.21000000000001,3,5,2,352,352
11321,230,2,37.29,2,5,1,251,251
11322,237,2,44.57,2,5,2,252,252
11323,348,2,6074.54,1,5,5,155,155
11324,342,2,5945.23,1,5,5,155,155
11325,347,2,6044.2,1,5,5,155,155
11326,327,2,5948.24,1,5,5,155,155
11327,346,2,5915.54,1,5,5,155,155
11328,281,2,4718.04,1,5,5,155,155
11329,337,2,5898.26,1,5,5,155,155
11330,3,27,1136.3500000000001,5,5,3,553,553
11331,2,27,1329.31,5,5,4,554,554
11332,372,2,5754.969999999999,1,5,5,155,155
11333,183,3,8163.3099999999995,3,5,5,355,355
11334,170,3,8154.0199999999995,3,5,5,355,355
11335,374,2,5744.25,1,5,5,155,155
11336,373,2,4441.3796,1,5,5,155,155
11337,178,3,8162.0,3,5,5,355,355
11338,379,2,5744.949999999999,1,5,5,155,155
11339,353,2,4379.0782,1,5,5,155,155
11340,376,2,4413.0581999999995,1,5,5,155,155
11341,178,3,8192.0,3,5,5,355,355
11342,185,1,48.97,3,1,2,312,Needs Attention
11343,173,3,8221.99,3,5,5,355,355
11344,174,3,8119.8099999999995,3,5,5,355,355
11345,378,2,4404.0882,1,5,5,155,155
11346,336,2,4503.048199999999,1,5,5,155,155
11347,303,1,13.98,1,1,1,111,Lost Customers
11348,288,1,67.97,1,1,2,112,Lost Customers
11349,7,1,67.97,5,1,2,512,512
11350,342,1,38.47,1,1,1,111,Lost Customers
11351,138,3,8068.03,3,5,5,355,355
11352,257,1,13.98,2,1,1,211,Needs Attention
11353,158,3,8078.0199999999995,3,5,5,355,355
11354,41,1,22.97,5,1,1,511,511
11355,109,1,13.98,4,1,1,411,Recent Customers
11356,74,3,5069.29,4,5,5,455,455
11357,76,3,4943.8,4,5,5,455,455
11358,60,3,5034.78,4,5,5,455,455
11359,40,3,4960.07,5,5,5,555,555
11360,22,3,5025.8,5,5,5,555,555
11361,50,2,114.96000000000001,5,5,3,553,553
11362,111,2,77.27,4,5,2,452,452
11363,26,3,5035.8099999999995,5,5,5,555,555
11364,18,3,4921.82,5,5,5,555,555
11365,22,3,5024.79,5,5,5,555,555
11366,151,2,77.27,3,5,2,352,352
11367,49,2,86.26,5,5,2,552,552
11368,43,3,5106.24,5,5,5,555,555
11369,17,2,118.96000000000001,5,5,3,553,553
11370,104,2,79.97,4,5,2,452,452
11371,16,2,74.98,5,5,2,552,552
11372,30,3,4965.8099999999995,5,5,5,555,555
11373,139,1,38.47,3,1,1,311,Needs Attention
11374,273,1,68.97,1,1,2,112,Lost Customers
11375,88,1,13.98,4,1,1,411,Recent Customers
11376,90,1,78.48,4,1,2,412,Recent Customers
11377,319,1,83.97,1,1,2,112,Lost Customers
11378,333,2,4436.3896,1,5,5,155,155
11379,321,2,4426.0581999999995,1,5,5,155,155
11380,344,2,5837.91,1,5,5,155,155
11381,148,3,8161.0199999999995,3,5,5,355,355
11382,331,2,4344.0882,1,5,5,155,155
11383,13,1,48.97,5,1,2,512,512
11384,164,1,48.97,3,1,2,312,Needs Attention
11385,191,1,13.98,2,1,1,211,Needs Attention
11386,72,1,68.97,4,1,2,412,Recent Customers
11387,287,3,6958.799999999999,1,5,5,155,155
11388,262,3,6986.749999999999,2,5,5,255,255
11389,57,1,68.97,5,1,2,512,512
11390,67,1,48.97,4,1,2,412,Recent Customers
11391,79,1,33.98,4,1,1,411,Recent Customers
11392,290,1,28.99,1,1,1,111,Lost Customers
11393,181,1,13.98,3,1,1,311,Needs Attention
11394,164,3,8161.969999999999,3,5,5,355,355
11395,327,2,5729.969999999999,1,5,5,155,155
11396,79,1,28.99,4,1,1,411,Recent Customers
11397,190,1,38.47,3,1,1,311,Needs Attention
11398,164,3,8114.039999999999,3,5,5,355,355
11399,275,1,13.98,1,1,1,111,Lost Customers
11400,178,3,6967.779999999999,3,5,5,355,355
11401,311,3,5020.8696,1,5,5,155,155
11402,286,3,5059.3296,1,5,5,155,155
11403,230,3,5033.1396,2,5,5,255,255
11404,337,1,33.98,1,1,1,111,Lost Customers
11405,288,1,53.99,1,1,2,112,Lost Customers
11406,338,2,4415.038199999999,1,5,5,155,155
11407,204,1,53.99,2,1,2,212,Needs Attention
11408,314,1,34.47,1,1,1,111,Lost Customers
11409,350,2,4444.0682,1,5,5,155,155
11410,343,2,4464.0682,1,5,5,155,155
11411,162,1,38.47,3,1,1,311,Needs Attention
11412,94,4,9879.96,4,5,5,455,455
11413,130,4,7189.749999999999,3,5,5,355,355
11414,120,4,7191.7699999999995,3,5,5,355,355
11415,150,1,13.98,3,1,1,311,Needs Attention
11416,253,3,4928.0581999999995,2,5,5,255,255
11417,29,7,11248.4582,5,5,5,555,555
11418,27,1,39.980000000000004,5,1,1,511,511
11419,200,2,231.75,2,5,3,253,253
11420,45,7,11200.7696,5,5,5,555,555
11421,96,4,9780.04,4,5,5,455,455
11422,71,4,7075.2699999999995,4,5,5,455,455
11423,85,4,9904.97,4,5,5,455,455
11424,267,1,43.980000000000004,2,1,2,212,Needs Attention
11425,23,6,10528.6282,5,5,5,555,555
11426,279,1,34.99,1,1,1,111,Lost Customers
11427,85,4,9917.99,4,5,5,455,455
11428,83,4,9954.26,4,5,5,455,455
11429,20,6,10468.3796,5,5,5,555,555
11430,300,1,84.98,1,1,2,112,Lost Customers
11431,105,4,9912.98,4,5,5,455,455
11432,19,6,9330.1996,5,5,5,555,555
11433,121,6,12909.6682,3,5,5,355,355
11434,182,2,70.46,3,5,2,352,352
11435,12,1,34.99,5,1,1,511,511
11436,208,2,81.76,2,5,2,252,252
11437,25,1,53.99,5,1,2,512,512
11438,342,1,34.99,1,1,1,111,Lost Customers
11439,85,6,12489.1696,4,5,5,455,455
11440,292,1,78.48,1,1,2,112,Lost Customers
11441,10,1,43.980000000000004,5,1,2,512,512
11442,106,1,34.99,4,1,1,411,Recent Customers
11443,104,3,8235.0,4,5,5,455,455
11444,225,3,8136.0199999999995,2,5,5,255,255
11445,199,3,8098.029999999999,2,5,5,255,255
11446,206,3,8237.009999999998,2,5,5,255,255
11447,227,3,8078.0199999999995,2,5,5,255,255
11448,206,3,8132.009999999999,2,5,5,255,255
11449,203,3,8130.32,2,5,5,255,255
11450,210,3,8173.26,2,5,5,255,255
11451,222,3,8249.49,2,5,5,255,255
11452,215,3,8183.039999999999,2,5,5,255,255
11453,208,3,8176.98,2,5,5,255,255
11454,209,3,8089.039999999999,2,5,5,255,255
11455,227,3,8142.03,2,5,5,255,255
11456,227,3,8224.46,2,5,5,255,255
11457,226,3,8211.48,2,5,5,255,255
11458,5,3,96.89,5,5,3,553,553
11459,209,3,8141.33,2,5,5,255,255
11460,217,3,8137.5199999999995,2,5,5,255,255
11461,176,3,8089.039999999999,3,5,5,355,355
11462,172,3,8116.33,3,5,5,355,355
11463,31,3,47.92,5,5,2,552,552
11464,196,3,8128.509999999999,2,5,5,255,255
11465,184,3,8158.039999999999,3,5,5,355,355
11466,145,3,90.19,3,5,2,352,352
11467,13,3,55.87,5,5,2,552,552
11468,145,3,6959.82,3,5,5,355,355
11469,157,1,25.479999999999997,3,1,1,311,Needs Attention
11470,326,2,4344.0882,1,5,5,155,155
11471,241,1,53.99,2,1,2,212,Needs Attention
11472,79,3,8165.82,4,5,5,455,455
11473,225,1,62.980000000000004,2,1,2,212,Needs Attention
11474,109,1,49.97,4,1,2,412,Recent Customers
11475,265,1,69.46,2,1,2,212,Needs Attention
11476,73,1,53.99,4,1,2,412,Recent Customers
11477,110,1,34.99,4,1,1,411,Recent Customers
11478,269,1,53.99,2,1,2,212,Needs Attention
11479,234,3,4970.6096,2,5,5,255,255
11480,172,3,4935.3596,3,5,5,355,355
11481,267,3,4978.048199999999,2,5,5,255,255
11482,125,3,8143.029999999999,3,5,5,355,355
11483,178,3,4966.3895999999995,3,5,5,355,355
11484,289,3,4985.3796,1,5,5,155,155
11485,123,3,7048.299999999999,3,5,5,355,355
11486,50,1,34.99,5,1,1,511,511
11487,29,1,53.99,5,1,2,512,512
11488,136,3,8090.33,3,5,5,355,355
11489,107,3,8127.509999999999,4,5,5,455,455
11490,284,1,53.99,1,1,2,112,Lost Customers
11491,128,3,8158.009999999999,3,5,5,355,355
11492,328,2,4404.0782,1,5,5,155,155
11493,123,3,6958.799999999999,3,5,5,355,355
11494,105,3,6973.8099999999995,4,5,5,455,455
11495,79,1,13.98,4,1,1,411,Recent Customers
11496,69,3,7013.789999999999,4,5,5,455,455
11497,70,1,34.99,4,1,1,411,Recent Customers
11498,9,16,561.53,5,5,3,553,553
11499,198,2,192.21,2,5,3,253,253
11500,9,16,654.27,5,5,3,553,553
11501,3,16,872.25,5,5,3,553,553
11502,0,16,1026.29,5,5,3,553,553
11503,36,2,61.779999999999994,5,5,2,552,552
11504,255,2,44.57,2,5,2,252,252
11505,20,16,846.77,5,5,3,553,553
11506,3,16,748.6,5,5,3,553,553
11507,4,16,653.06,5,5,3,553,553
11508,244,2,77.27000000000001,2,5,2,252,252
11509,168,1,196.29,3,1,3,313,Needs Attention
11510,18,5,258.15,5,5,3,553,553
11511,306,1,35.0,1,1,1,111,Lost Customers
11512,16,1,2319.99,5,1,4,514,514
11513,219,1,863.95,2,1,3,213,Needs Attention
11514,203,1,39.99,2,1,2,212,Needs Attention
11515,268,2,5930.23,2,5,5,255,255
11516,211,2,5915.54,2,5,5,255,255
11517,143,2,101.76,3,5,3,353,353
11518,63,2,82.2,4,5,2,452,452
11519,8,16,757.27,5,5,3,553,553
11520,4,16,822.97,5,5,3,553,553
11521,67,2,44.57,4,5,2,452,452
11522,346,2,5888.24,1,5,5,155,155
11523,332,1,2376.9599999999996,1,1,4,114,Lost Customers
11524,88,2,42.28,4,5,2,452,452
11525,325,2,5935.549999999999,1,5,5,155,155
11526,344,1,2376.9599999999996,1,1,4,114,Lost Customers
11527,73,2,39.58,4,5,1,451,451
11528,328,2,5959.709999999999,1,5,5,155,155
11529,343,2,5944.209999999999,1,5,5,155,155
11530,14,16,573.8,5,5,3,553,553
11531,339,2,5875.549999999999,1,5,5,155,155
11532,17,2,44.57,5,5,2,552,552
11533,9,2,37.29,5,5,1,551,551
11534,333,2,5919.73,1,5,5,155,155
11535,304,2,5919.209999999999,1,5,5,155,155
11536,298,2,5915.54,1,5,5,155,155
11537,295,2,5873.26,1,5,5,155,155
11538,318,2,5895.24,1,5,5,155,155
11539,294,2,5997.73,1,5,5,155,155
11540,298,2,5958.18,1,5,5,155,155
11541,275,2,5973.24,1,5,5,155,155
11542,247,1,34.47,2,1,1,211,Needs Attention
11543,23,1,53.99,5,1,2,512,512
11544,138,1,88.98,3,1,2,312,Needs Attention
11545,184,1,53.99,3,1,2,312,Needs Attention
11546,307,2,4460.3796,1,5,5,155,155
11547,169,3,4976.3796,3,5,5,355,355
11548,63,3,7068.2699999999995,4,5,5,455,455
11549,32,3,7023.7699999999995,5,5,5,555,555
11550,303,3,5241.4282,1,5,5,155,155
11551,318,1,53.99,1,1,2,112,Lost Customers
11552,11,1,34.99,5,1,1,511,511
11553,144,1,21.49,3,1,1,311,Needs Attention
11554,250,1,34.99,2,1,1,211,Needs Attention
11555,250,1,34.99,2,1,1,211,Needs Attention
11556,23,1,21.49,5,1,1,511,511
11557,158,1,21.49,3,1,1,311,Needs Attention
11558,44,1,21.49,5,1,1,511,511
11559,45,1,34.99,5,1,1,511,511
11560,41,1,53.99,5,1,2,512,512
11561,308,2,4344.0882,1,5,5,155,155
11562,201,1,84.98,2,1,2,212,Needs Attention
11563,192,1,53.99,2,1,2,212,Needs Attention
11564,301,2,4369.0882,1,5,5,155,155
11565,127,1,34.99,3,1,1,311,Needs Attention
11566,10,25,1006.83,5,5,3,553,553
11567,304,1,53.99,1,1,2,112,Lost Customers
11568,115,3,6789.4596,4,5,5,455,455
11569,54,1,34.99,5,1,1,511,511
11570,305,2,4391.4096,1,5,5,155,155
11571,299,2,4390.6795999999995,1,5,5,155,155
11572,311,2,4450.3696,1,5,5,155,155
11573,170,1,34.99,3,1,1,311,Needs Attention
11574,304,1,34.99,1,1,1,111,Lost Customers
11575,119,3,6806.1182,3,5,5,355,355
11576,296,2,4486.4096,1,5,5,155,155
11577,307,2,4344.0882,1,5,5,155,155
11578,307,2,4406.3896,1,5,5,155,155
11579,166,1,43.980000000000004,3,1,2,312,Needs Attention
11580,272,1,34.99,2,1,1,211,Needs Attention
11581,52,5,237.19,5,5,3,553,553
11582,296,2,4379.0782,1,5,5,155,155
11583,280,2,4381.3896,1,5,5,155,155
11584,119,1,8.99,3,1,1,311,Needs Attention
11585,9,1,49.99,5,1,2,512,512
11586,77,1,8.99,4,1,1,411,Recent Customers
11587,279,2,4540.378199999999,1,5,5,155,155
11588,246,2,4369.0882,2,5,5,255,255
11589,223,1,14.98,2,1,1,211,Needs Attention
11590,235,2,4384.0682,2,5,5,255,255
11591,235,2,5895.24,2,5,5,255,255
